Judge,For/Against,State / District,Appointed by,Notable ruling
<b>Jeffrey Bryan</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.227104/gov.uscourts.mnd.227104.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Jeffrey Cummings</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.352901/gov.uscourts.ilnd.352901.247.0_1.pdf"" target=""_blank"">🔗</a>"
<b>Jennifer Rearden</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",NYSD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.653237/gov.uscourts.nysd.653237.23.0.pdf"" target=""_blank"">🔗</a>"
<b>Jennifer Rochon</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.652477/gov.uscourts.nysd.652477.19.0.pdf"" target=""_blank"">🔗</a>"
<b>Jennifer Thurston</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.caed.470640/gov.uscourts.caed.470640.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Jeremy Daniel</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.488305/gov.uscourts.ilnd.488305.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Jerry Blackwell</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.231003/gov.uscourts.mnd.231003.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Jessica Clarke</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.651200/gov.uscourts.nysd.651200.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Jinsook Ohta</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.828221/gov.uscourts.casd.828221.20.0.pdf"" target=""_blank"">🔗</a>"
<b>John Kazen</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2017414/gov.uscourts.txsd.2017414.30.0.pdf"" target=""_blank"">🔗</a>"
<b>John Murphy</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.647153/gov.uscourts.paed.647153.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Julia Kobick</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.285348/gov.uscourts.mad.285348.19.0.pdf"" target=""_blank"">🔗</a>"
<b>Julie Rubin</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mdd.587012/gov.uscourts.mdd.587012.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Julie Sneed</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLMD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flmd.453326/gov.uscourts.flmd.453326.5.0.pdf"" target=""_blank"">🔗</a>"
<b>Julien Neals</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.585250/gov.uscourts.njd.585250.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Kai Scott</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.647861/gov.uscourts.paed.647861.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Karen Williams</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.588210/gov.uscourts.njd.588210.3.0.pdf"" target=""_blank"">🔗</a>"
<b>Karoline Mehalchick</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAMD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.pamd.149307/gov.uscourts.pamd.149307.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Katherine Menendez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.227778/gov.uscourts.mnd.227778.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Kato Crews</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CO,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cod.249175/gov.uscourts.cod.249175.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Kelley Hodge</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.647481/gov.uscourts.paed.647481.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Kenly Kato</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.989727/gov.uscourts.cacd.989727.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Kirk Sherriff</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.caed.469636/gov.uscourts.caed.469636.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Kymberly Evanson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WAWD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wawd.352259/gov.uscourts.wawd.352259.31.0.pdf"" target=""_blank"">🔗</a>"
<b>LaShonda Hunt</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.488740/gov.uscourts.ilnd.488740.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Laura Provinzino</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.229312/gov.uscourts.mnd.229312.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Linda Lopez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.825841/gov.uscourts.casd.825841.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Lindsay Jenkins</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.485932/gov.uscourts.ilnd.485932.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Lydia Griggsby</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mdd.597308/gov.uscourts.mdd.597308.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Margaret Garnett</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.998653/gov.uscourts.cacd.998653.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Margaret Strickland</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NM,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nmd.538408/gov.uscourts.nmd.538408.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Maria del Rocio Antongiorgi-Jordan</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PR,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://www.courtlistener.com/docket/72128802/lora-salazar-v-ripa/"" target=""_blank"">🔗</a>"
<b>Mary Kay Costello</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.647439/gov.uscourts.paed.647439.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Mary Kay Lanthier</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VT,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vtd.40655/gov.uscourts.vtd.40655.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Matthew Brookman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",INSD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.insd.225402/gov.uscourts.insd.225402.16.0_1.pdf"" target=""_blank"">🔗</a>"
<b>Matthew Garcia</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NM,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nmd.535660/gov.uscourts.nmd.535660.23.0.pdf"" target=""_blank"">🔗</a>"
<b>Melissa Damian</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLSD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flsd.697746/gov.uscourts.flsd.697746.29.0.pdf"" target=""_blank"">🔗</a>"
<b>Melissa DuBose</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",RI,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.rid.60395/gov.uscourts.rid.60395.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Meredith Vacca</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYWD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nywd.157692/gov.uscourts.nywd.157692.31.0.pdf"" target=""_blank"">🔗</a>"
<b>Mia Perez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.646763/gov.uscourts.paed.646763.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Michael Farbiarz</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.584195/gov.uscourts.njd.584195.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Michael Nachmanoff</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vaed.580472/gov.uscourts.vaed.580472.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Michelle Court</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.991987/gov.uscourts.cacd.991987.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Monica Almadani</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.984187/gov.uscourts.cacd.984187.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Myong Joun</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.288299/gov.uscourts.mad.288299.22.0.pdf"" target=""_blank"">🔗</a>"
<b>Natasha Merle</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.539212/gov.uscourts.nyed.539212.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Nina Morrison</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.534762/gov.uscourts.nyed.534762.28.0.pdf"" target=""_blank"">🔗</a>"
<b>Nina Wang</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CO,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cod.247935/gov.uscourts.cod.247935.18.0.pdf"" target=""_blank"">🔗</a>"
<b>Nusrat Choudhury</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.538210/gov.uscourts.nyed.538210.25.0.pdf"" target=""_blank"">🔗</a>"
<b>Orelia Merchant</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.536460/gov.uscourts.nyed.536460.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Patricia Giles</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VAED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vaed.583183/gov.uscourts.vaed.583183.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Regina Rodriguez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CO,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cod.246978/gov.uscourts.cod.246978.33.0.pdf"" target=""_blank"">🔗</a>"
<b>Rita Lin</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.454417/gov.uscourts.cand.454417.19.0.pdf"" target=""_blank"">🔗</a>"
<b>Robert Huie</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.829725/gov.uscourts.casd.829725.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Robert Kirsch</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.585851/gov.uscourts.njd.585851.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Robert White</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MIED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mied.387778/gov.uscourts.mied.387778.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Ruth Montenegro</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.830042/gov.uscourts.casd.830042.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Samantha Elliott</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NH,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nhd.66283/gov.uscourts.nhd.66283.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Sanket Bulsara</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.541396/gov.uscourts.nyed.541396.5.0.pdf"" target=""_blank"">🔗</a>"
<b>Sarah Davenport</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NM,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nmd.537512/gov.uscourts.nmd.537512.25.0.pdf"" target=""_blank"">🔗</a>"
<b>Serena Murillo</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.991999/gov.uscourts.cacd.991999.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Shalina Kumar</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MIED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mied.388923/gov.uscourts.mied.388923.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Shanlyn Park</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",HI,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.hid.175456/gov.uscourts.hid.175456.21.0.pdf"" target=""_blank"">🔗</a>"
<b>Sharad Desai</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",AZ,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.azd.1458743/gov.uscourts.azd.1458743.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Stacey Neumann</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ME,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.med.69330/gov.uscourts.med.69330.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Stephen Locher</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",IASD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.iasd.91886/gov.uscourts.iasd.91886.22.0.pdf"" target=""_blank"">🔗</a>"
<b>Sunil Harjani</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.488265/gov.uscourts.ilnd.488265.13.0_1.pdf"" target=""_blank"">🔗</a>"
<b>Sunshine Sykes</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.998214/gov.uscourts.cacd.998214.11.0_2.pdf"" target=""_blank"">🔗</a>"
<b>Susan Bazis</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NE,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ned.110208/gov.uscourts.ned.110208.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Susan DeClercq</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MIED,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mied.388906/gov.uscourts.mied.388906.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Tiffany Cartwright</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WAWD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wawd.346178/gov.uscourts.wawd.346178.29.0.pdf"" target=""_blank"">🔗</a>"
<b>Trina Thompson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.453541/gov.uscourts.cand.453541.26.0.pdf"" target=""_blank"">🔗</a>"
<b>Victoria Calvert</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",GAND,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.gand.353052/gov.uscourts.gand.353052.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Wesley Hsu</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.992823/gov.uscourts.cacd.992823.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Zahid Quraishi</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Joe Biden</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.586115/gov.uscourts.njd.586115.21.0.pdf"" target=""_blank"">🔗</a>"
<b>Alfred Bennett</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2029240/gov.uscourts.txsd.2029240.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Allison Burroughs</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.288983/gov.uscourts.mad.288983.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Amy Totenberg</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",GAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.gand.354239/gov.uscourts.gand.354239.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Analisa Torres</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.652639/gov.uscourts.nysd.652639.15.0.pdf"" target=""_blank"">🔗</a>"
"<b>Andre Birotte, Jr.</b>","<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.987843/gov.uscourts.cacd.987843.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Andrea Wood</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.487567/gov.uscourts.ilnd.487567.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Andrew Carter</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.990877/gov.uscourts.cacd.990877.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Ann Donnelly</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.538991/gov.uscourts.nyed.538991.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Benita Pearson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OHND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ohnd.322496/gov.uscourts.ohnd.322496.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Beth Freeman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.455059/gov.uscourts.cand.455059.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Beth Phillips</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MOWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mowd.187202/gov.uscourts.mowd.187202.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Brenda Sannes</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nynd.152158/gov.uscourts.nynd.152158.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Brian Martinotti</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.581533/gov.uscourts.njd.581533.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Brian Wimes</b>,"<b><span style=""color:#FD892F;"">Against</span></b>","MOWD, MOED","<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mowd.187517/gov.uscourts.mowd.187517.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Carlos Mendoza</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLMD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flmd.452943/gov.uscourts.flmd.452943.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Cathy Ann Bencivengo</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",CASD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.827126/gov.uscourts.casd.827126.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Christina Reiss</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VT,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vtd.40105/gov.uscourts.vtd.40105.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Claire Cecchi</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.586050/gov.uscourts.njd.586050.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Cynthia Bashant</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.834025/gov.uscourts.casd.834025.7.0.pdf"" target=""_blank"">🔗</a>"
